tipo_pagamento,estado_entrega,dispositivo,periodo_compra,usa_cupom,chargeback_previo,valor_pedido,qtd_itens,tempo_cadastro_dias,compras_anteriores,dist_cobranca_entrega_km,score_risco,idade_cliente,fraude
Boleto,RJ,Mobile,Noite,Não,Sim,229.94,4,1506.0,7,6.35,51.7,70,0.0
Cartão,RJ,Mobile,Tarde,Sim,Não,1215.76,5,1161.0,7,32.56,58.2,60,0.0
Cartão,PE,Mobile,Manhã,Sim,Não,362.78,5,287.0,3,25.64,79.9,32,0.0
Boleto,RS,Desktop,Tarde,Não,Não,34.02,4,1693.0,5,0.51,62.9,56,0.0
Cartão,PR,Mobile,Manhã,Não,Não,546.09,1,333.0,6,22.27,36.2,74,0.0
Boleto,RS,Mobile,Manhã,Não,Não,67.93,7,138.0,5,47.07,0.0,61,0.0
Boleto,RS,Desktop,Tarde,Não,Não,632.27,3,1161.0,7,12.73,,18,0.0
Pix,PR,Desktop,Tarde,Não,Não,96.29,6,301.0,4,26.57,33.5,36,1.0
,PR,Mobile,Manhã,Sim,Não,497.57,5,1795.0,5,4.96,30.1,39,0.0
Cartão,PE,Mobile,Manhã,Sim,Não,116.28,2,241.0,5,71.52,32.1,43,1.0
Cartão,RS,Desktop,Tarde,Não,Não,25.75,6,1618.0,6,42.33,13.8,23,0.0
Pix,GO,Mobile,Tarde,Não,Sim,363.96,6,379.0,3,24.07,50.6,77,1.0
Pix,SP,Tablet,Madrugada,Não,Não,227.61,1,1691.0,5,37.79,45.0,78,0.0
Cartão,SP,Mobile,Madrugada,Sim,Não,488.34,7,416.0,6,6.53,10.1,72,0.0
Cartão,PR,Mobile,Manhã,Sim,Não,172.91,1,264.0,10,8.55,92.9,19,1.0
Cartão,PR,Mobile,Noite,Não,Não,729.47,3,504.0,6,42.85,70.8,64,1.0
Cartão,PR,Mobile,Tarde,Sim,Não,1145.9,4,1997.0,1,36.5,59.1,63,0.0
Pix,SP,,Noite,Sim,Não,649.03,5,658.0,10,32.74,43.1,57,0.0
Cartão,MG,Desktop,Tarde,Sim,Não,543.87,7,1690.0,8,13.0,40.0,52,0.0
Cartão,RS,Mobile,Noite,Não,Não,463.58,6,80.0,5,35.22,52.4,67,0.0
Cartão,GO,Desktop,Tarde,Não,Não,453.85,5,1749.0,3,40.69,55.4,30,0.0
Cartão,GO,Desktop,Tarde,Sim,Não,509.19,7,1262.0,5,37.76,21.5,38,
Pix,GO,Mobile,Tarde,Não,Não,340.4,2,473.0,12,42.34,54.9,58,0.0
Cartão,RS,Mobile,Madrugada,Não,Não,230.94,2,1340.0,9,27.14,45.3,43,0.0
Cartão,GO,Mobile,Madrugada,Não,Não,,2,749.0,5,56.45,62.4,74,1.0
Cartão,RS,Desktop,Manhã,Sim,Não,323.17,2,1403.0,4,50.42,73.3,21,0.0
,RS,Desktop,Tarde,Não,Não,711.94,3,772.0,3,22.63,17.7,52,0.0
Cartão,RJ,Mobile,Tarde,Sim,Não,309.51,3,1825.0,5,7.98,56.5,21,0.0
,RS,Desktop,Tarde,Sim,Não,131.4,6,543.0,7,26.23,49.2,62,0.0
Cartão,GO,Tablet,Noite,Sim,Não,818.59,2,1953.0,7,16.61,65.0,70,0.0
Cartão,RS,Mobile,Noite,Não,Não,288.05,2,1606.0,5,45.85,48.8,46,1.0
Cartão,MG,Desktop,Noite,Não,Não,153.71,2,399.0,5,0.78,40.7,72,0.0
Boleto,SP,Mobile,Tarde,Sim,Sim,390.56,6,463.0,3,16.3,43.3,41,0.0
Cartão,SP,Mobile,Manhã,Não,Não,280.52,5,1191.0,7,30.9,,78,0.0
Cartão,PR,Tablet,Manhã,Não,Não,288.38,7,1183.0,8,50.14,39.2,40,
Cartão,MG,Desktop,Manhã,Sim,Não,557.33,3,1609.0,8,51.84,58.0,19,0.0
Boleto,SP,Desktop,Manhã,Sim,Não,544.44,1,892.0,8,69.24,56.8,73,1.0
Boleto,GO,Mobile,Tarde,Sim,Não,356.18,3,1312.0,8,70.42,41.1,27,0.0
Cartão,BA,Desktop,Madrugada,Não,Não,239.58,6,1005.0,2,59.48,74.7,56,1.0
Pix,MG,Desktop,Tarde,Não,Não,60.63,3,1856.0,8,38.58,42.4,22,0.0
Cartão,PE,Mobile,Tarde,Sim,Não,396.57,6,1702.0,6,7.72,64.1,71,0.0
Cartão,MG,Desktop,Tarde,Sim,Não,342.52,7,,8,2.75,18.3,37,0.0
Pix,PE,Desktop,Madrugada,Sim,Não,610.51,5,469.0,8,19.08,54.3,20,0.0
